,,,,,,,,,,,,,,,,,,,,,,ListofBrooklynBuildings Containing StabilizedUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,

ZIP,,,BLDGNO1,,,,STREET1,,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,STSUFX2,,,COUNTY,,,CITY,,,,STATUS1,,,STATUS2,,,,,,STATUS3,,BLOCK,,,,LOT,,
ZIP,,,BLDGNO1,,,,STREET1,,,,,,,STSUFX1,,,,BLDGNO2,,,,STREET2,,,,,STSUFX2,,,COUNTY,,,CITY,,,,STATUS1,,,STATUS2,,,,,,STATUS3,,,BLOCK,,,,LOT,,

11201,,,105,,,,BOERUM,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGB,,,,,,,,,,,,187,,,,5,,

11201,,,107,,,,BOERUM,,,,,,,PL,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGB,,,,,,,,,,,,187,,,,4,,

11201,,,33,,,,BOND,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,,,166,,,,7502,,

11201,,,388,,,,BRIDGE,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,152,,,,7501,,

11201,,,15,,,,BRIDGE PARK,,,,,,,DR,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,245,,,,25,,

11201,,,22,,,,CHAPEL,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,421-A (16),,,,,,,,,119,,,,55,,

11201,,,12 TO 14,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,234,,,,43,,

11201,,,32 TO 40,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,235,,,,42,,

11201,,,35,,,,CLARK,,,,,,,ST,,,,116 TO 122,,,,HICKS,,,,,ST,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,EVICT COOP/CONDO,,,,,,,,,230,,,,17,,

11201,,,50,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,236,,,,101,,

11201,,,52 TO 58,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,GARDENCOMPLEX,,,,,,,,,236,,,,103,,

11201,,,60,,,,CLARK,,,,,,,ST,,,,,,,,,,,,,,,,61,,,BROOKLYN,,,,MULTIPLE DWELLINGA,,,,,,,,,,,,236,,,,107,,

